text,label
Tu peux me dire où sont Tom et Mary ?,fra
"Tom a dit qu'il voulait être seul, et il est monté dans sa chambre ensuite.",fra
"Quand elle a vu qu'il pleuvait, elle a pris son parapluie.",fra
Elle a hérité le tempérament de son grand-père.,fra
Ils t'attendent.,fra
"Tu ne pouvais pas empêcher Thomas de faire ça, n'est-ce pas ?",fra
Les pieuvres mâles meurent quelques mois après l'accouplement.,fra
Ne crains rien ma fille.,fra
"C'est d'accord, je m'y rends.",fra
Je suis toujours amoureux de Mary.,fra
Ils nous ont tendu une embuscade sur la route.,fra
Est-ce que Tom prévoit de nous aider ?,fra
"Selon moi, tu es un génie.",fra
Pourquoi devrais-je t'aider ?,fra
Je suis restée chez lui pendant environ un an.,fra
Tom est obsédé par le pouvoir et l'argent.,fra
Ceci est un phénomène extrêmement rare.,fra
On devrait montrer du respect envers autrui.,fra
Ta méthode d'enseigner l'anglais est absurde.,fra
Où ont-elles acheté ces chaussures ?,fra
Elle ne s'est pas envolé à Sidi Ayyed.,fra
De quoi tires-tu fierté ?,fra
Qu’avez-vous fait ?,fra
Je vous ai fait des crêpes.,fra
Je devrais aller avec vous.,fra
"Il a dit qu'il courrait 200 kilomètres en une journée, et il l'a fait.",fra
Il a été relâché.,fra
Je suis Ukrainien.,fra
Le portier a ouvert la porte.,fra
Il trépassa dans son lit.,fra
Est-ce que tu crois Tom ?,fra
"Es-tu libre pour souper, ce soir ?",fra
C'était génial de vous rencontrer dans la vraie vie !,fra
"Dans l'humanité, il n'y a que les détails qui changent.",fra
J'étais avec vous.,fra
C'est une étudiante sérieuse.,fra
"Le véritable travail, c'est de savoir attendre.",fra
Son entreprise se porte bien.,fra
Ils ont baptisé leur bateau « Ksila » avant son premier voyage.,fra
Découpe la feuille en suivant les pointillés.,fra
Je ne sais pas ce qui est pire.,fra
J'ai dit à Tom d'être à la maison avant 2h30.,fra
"La télévision est éteinte, mais elle est encore chaude.",fra
J'ai besoin de repos après de si nombreuses journées complètement chargées.,fra
Elle me dit que je pouvais dormir sur le canapé.,fra
Je n'ai pas envie d'aller à l'école.,fra
« Attention au piège ! » hurla-t-elle.,fra
"De nombreuses petites gens, dans de nombreux petits endroits, qui font de nombreuses petites choses, renouvelleront le visage de la Terre.",fra
Il ne connaît pas du tout l'anglais.,fra
Qu'aimez-vous faire de votre temps libre ?,fra
J’ai fait un rêve horrible.,fra
Tu t'es rué vers Ait Wemuche.,fra
Je n'utilise pas mon vélo très souvent.,fra
Est-ce un tilleul ?,fra
Faire son possible vaut mieux que rien faire du tout.,fra
S'il appelle dis-lui que je le recontacterai plus tard.,fra
Je n'entends jamais rien.,fra
Gunter a eu plus d'hallucinations.,fra
Je vais aller oublier.,fra
Thomas est passionné de musique classique.,fra
Mon arrière-grand-père était originaire de Galicie.,fra
Il n'y a pas assez de travailleurs qualifiés pour faire tourner les usines.,fra
Quels sont vos liens familiaux ?,fra
Jim m'a écrit la semaine dernière et a dit qu'il était revenu deux mois auparavant.,fra
Étais-tu un consommateur d'alcool ?,fra
Les enfants touchent tout.,fra
Ils réclament tous leur argent.,fra
Je crois que Tom sait nager.,fra
Il ferma la porte.,fra
J'ai eu du travail aujourd'hui.,fra
Ne l'expose pas à la pluie !,fra
Je ne l'ai jamais connu.,fra
Ça se passe toujours comme ça.,fra
La lessive sèche à l'air.,fra
Laissez-moi vous présenter à ma famille.,fra
Nous mangeons plus souvent du porc que du bœuf.,fra
Je crois qu'il s'appelle Tom.,fra
Nous allions souvent skier durant l'hiver.,fra
"Tu ne sais pas nager, ou bien si ?",fra
Vais-je vous inviter à rester dîner?,fra
Je crois que son opinion ne diffère pas du tout de la nôtre.,fra
Tes parents t'adorent.,fra
Elle veut mettre la main à la poche.,fra
Je viens de commencer à apprendre l'espagnol.,fra
Dois-je prendre soin de votre chien ?,fra
Donne-moi juste une minute.,fra
La femme se lave le visage.,fra
Je garde le secret.,fra
Tom engloutit rapidement un hamburger.,fra
Ils peuvent le faire.,fra
Elles ne voulaient pas participer au jeu.,fra
Je ne me suis jamais fait de souci à votre sujet.,fra
Reste objective.,fra
Nous devons mieux comprendre la planète Mars.,fra
Quel âge a ce livre?,fra
Tu étais en train de chanter.,fra
Ils étaient heureux chez eux.,fra
Il porte en permanence le kabyle dans son cœur.,fra
Il a son sac.,fra
Son bureau se trouve au centre-ville.,fra
Marie est grande et mince.,fra
J'aime le vin rouge plus que le vin blanc.,fra
Je vais t'en raconter une gratinée.,fra
"J'essayais de faire le rapprochement entre cette forme et quelque chose existant dans la nature, sans grand succès.",fra
Vous buvez trop.,fra
"Moi, j'ai rien pigé !",fra
Elle m'avait demandé des nouvelles de mon école.,fra
T’as sommeil ?,fra
Elle devrait avoir vingt ans.,fra
Je ne veux pas que tu sois fâchée.,fra
Je ne sais pas ce qu'elles cherchent.,fra
Comprends-tu quel est le problème ?,fra
J'ai été poursuivi en justice.,fra
"Non, seulement un.",fra
J’aime entendre le chant du merle.,fra
Elle a aligné les chaises.,fra
